; Spamhaus DROP List 20/09/13 - (c) 2013 The Spamhaus Project
; http://www.spamhaus.org/drop/drop.txt
; Last-Modified: Fri, 20 Sep 2013 10:29:03 GMT
; Expires: Fri, 20 Sep 2013 10:25:57 GMT
95.215.140.0/22 ; SBL98152
95.216.0.0/15 ; SBL83308
100.42.192.0/20 ; SBL188249
103.2.44.0/22 ; SBL145400
103.10.68.0/22 ; SBL131017
103.12.216.0/22 ; SBL189607
103.246.72.0/22 ; SBL145399
109.94.208.0/20 ; SBL84898
109.196.96.0/20 ; SBL112061
110.44.128.0/20 ; SBL79386
110.232.160.0/20 ; SBL79387
113.20.160.0/19 ; SBL79384
116.144.0.0/15 ; SBL178615
116.146.0.0/15 ; SBL178616
116.197.152.0/21 ; SBL131021
116.199.128.0/19 ; SBL56563
121.46.64.0/18 ; SBL72673
122.202.96.0/19 ; SBL87493
128.168.0.0/16 ; SBL51908
129.76.64.0/18 ; SBL101405
130.201.0.0/16 ; SBL101200
130.222.0.0/16 ; SBL101196
132.145.0.0/16 ; SBL101575
132.232.0.0/16 ; SBL9176
134.23.0.0/16 ; SBL101571
134.33.0.0/16 ; SBL7097
134.127.0.0/16 ; SBL101572
134.172.0.0/16 ; SBL101573
134.209.0.0/16 ; SBL101574
136.228.0.0/16 ; SBL89254
138.43.0.0/16 ; SBL69354
139.150.0.0/16 ; SBL192049
139.167.0.0/16 ; SBL64740
140.170.0.0/16 ; SBL79701
141.136.16.0/24 ; SBL126664
141.136.17.0/24 ; SBL124450
141.136.22.0/24 ; SBL115039
141.136.27.0/24 ; SBL117320
143.49.0.0/16 ; SBL7182
143.64.0.0/16 ; SBL194484
143.135.0.0/16 ; SBL84946
147.50.0.0/16 ; SBL156522
148.105.0.0/16 ; SBL103491
148.178.0.0/16 ; SBL79700
148.248.0.0/16 ; SBL84763
149.118.0.0/16 ; SBL181786
149.143.64.0/18 ; SBL181787
150.126.0.0/16 ; SBL156561
150.141.0.0/16 ; SBL79702
151.123.0.0/16 ; SBL89692
151.192.0.0/16 ; SBL178650
151.237.184.0/23 ; SBL195447
152.147.0.0/16 ; SBL8847
154.10.0.0/16 ; SBL184843
155.190.0.0/16 ; SBL89253
157.186.0.0/16 ; SBL186753
157.226.0.0/16 ; SBL89693
157.231.0.0/16 ; SBL154590
157.232.0.0/16 ; SBL154609
159.141.0.0/16 ; SBL174978
159.223.0.0/16 ; SBL98308
161.232.0.0/16 ; SBL173214
162.125.0.0/16 ; SBL101854
162.217.4.0/22 ; SBL192258
163.253.0.0/16 ; SBL182161
165.225.192.0/18 ; SBL177792
167.28.0.0/16 ; SBL75680
167.74.0.0/18 ; SBL178647
167.97.0.0/16 ; SBL12947
167.224.0.0/19 ; SBL106073
170.67.0.0/16 ; SBL8148
170.113.0.0/16 ; SBL102573
170.120.0.0/16 ; SBL90515
171.25.190.0/24 ; SBL182943
173.205.0.0/21 ; SBL173638
173.205.8.0/21 ; SBL173639
173.205.16.0/21 ; SBL173640
